Tweet,Message,Match,Polarity
329,RT LoveLike JESUS I proudly proclaim my Educational Background Church is my University GOD is my Principal JESUS is my Teacher,null,neutral
330,On Redbubble No 224 King St W Toronto Canada 4,null,neutral
331,RT shenanigans good morning twitter university,good,positive
332,RT We are the best university in the world GoBlue,null,neutral
333,One describes this Sad,null,neutral
334,RT GAMEDAY TheRoadToCA,null,neutral
335,RT Mestizos Amerindians in North America Guatemala 99 5 Honduras 97 Mexico 90 El Salvador 86 5 Costa Rica,null,neutral
336,What a great way to start thanksgiving break The guys played hard played for eachother and finished 4 1 on the we,null,neutral
337,Those of you living in Nigeria and schooling at Oxford University on FB How do you cope with the transport fare,null,neutral
338,RT This guy should be summoned to the PMOffice and instructed to mind his bloody tone or be immediately deported No other em,null,neutral
339,Hope for the future at Christian colleges LGBTQ,null,neutral
340,Do you love Bedrokk Hear them on at for Canada s Best Music Listen Like Share,null,neutral
341,Canada advances to first Davis Cup final after defeating Russia,null,neutral
342,RT Reitero Esta generaci n morir ahogada en sus propias babas,null,neutral
343,Hi sir This is Pakiz from Hindu College University of Delhi We are trying our best to get in touch,null,neutral
344,RT oretonii There s a psychopath in the university of Ibadan who picks up young girls with his car in the name of helping them get to th,up,positive
345,RT Heroux CANADA WINS CANADA WINS Canada defeats Russia in the Davis Cup semifinal and advance to the Finals for the first time,null,neutral
346,RT oretonii There s a psychopath in the university of Ibadan who picks up young girls with his car in the name of helping them get to th,up,positive
347,RT Sorry Vince there s a new Air Canada,null,neutral
348,RT We re everywhere Jackie studentsdemandaction leader at Clark Atlanta University with Nicole Georgia s te,null,neutral
349,RT Blessed to receive my second offer from Urbana university,null,neutral
350,RT Beyond blessed and grateful to receive an offer from the University of Wisconsin OnWisconsin,null,neutral
351,RT Only thing illustrious about this university IS the women,null,neutral
352,Linfield vs Chapman University NCAA COLLEGE FOOTBALL Live 03 00 00 PM On here,null,neutral
353,On Monday I am going to be looking at Canada s role in the Coronation of Queen Elizabeth on my podcast Canadian Hi,null,neutral
354,RT While a very small number of people continue to hold out at HongKong Polytechnic University on the seventh day of the poli,null,neutral
355,RT Beyond blessed and grateful to receive an offer from the University of Wisconsin OnWisconsin,null,neutral
356,Man facing charges after using soy sauce as part of 100 000 vandalism of Guelph business police say,null,neutral
357,RT veterinary surgeon Dr Borhan Manaournia from Marivan was a student in Kermanshah university He killed by Iranian securi,null,neutral
358,RT Nadal 6 4 6 0 over Dan Evans and Spain and Britain are now tied at 1 1 Will come down to the doubles again to see w,now,positive
359,RT 7 7 PolyU,null,neutral
360,RT This makes my blood boil TrudeauMustGo Canada Liberals EnoughIsEnough,null,neutral
361,Counting down T 7 days to another medical mission week with a fab team of physician volunteers from the Universit,null,neutral
362,RT Great meeting in New York with historian and professor at Columbia University Mark Mazower who is also a member of the,null,neutral
363,puzZle Hey Julia sounds like you re having a difficult time If you are in crisis we strongly suggest yo,null,neutral
364,RT Doug Ford s attempt to wipe out students unions under the guise of giving students choice has been exposed for what i,choice,positive
365,RT Big Ten East Champions THE Ohio State University,null,neutral
366,RT After Punjab alleged hate attack against Kashmiri students in Indian state of Rajasthan,hate,negative
367,RT Big Ten East Champions THE Ohio State University,null,neutral
368,Canada in the finals,null,neutral
369,That s my best friend,null,neutral
370,RT Navy Secretary Richard Spencer is due to give a talk in Halifax shortly The New York Times just reported that he threa,null,neutral
371,RT Ive seen for myself how some under 18s have found that they are registered to vote not understanding that it is illegal,not,negative
372,RT Canada votes against Israel for the first time in 14 years and our Ambassador boasts that Canada has regained its voice No,null,neutral
373,RT Just about any question you have about Canada can be answered by this sentence,null,neutral
374,RT Think it s dangerously warm in Canada Tell this guy,null,neutral
375,GAME DAYYY SicEm SicUT feeling pumped at McLane Stadium at Baylor University,null,neutral
376,RT Blessed to receive another offer form the University Minnesota Crookston,null,neutral
377,Why is it the University of Kansas but they re KU Same for you Colorado,null,neutral
378,RT The list of 31 Vulnerable Democrats in Trump Districts ARE FREAKED that GOP Is Running Schifty Schiff Impeachment Ads in t,null,neutral
379,RT Great piece on synergies between MMIWG and s WPS Action Plan let s discuss,null,neutral
380,RT St John s Christmas parade will feature a silent stretch for spectators with autism CBC News,null,neutral
381,Aben Resources Exploring Gold Project In The Golden Triangle Canada via,null,neutral
382,After a big turn in my life I decided to stop everything university Started looking for a job and during th,null,neutral
383,RT We are fighting for the safest workplace possible We ve lost 9 of our members in various railway accidents over the p,null,neutral
384,RT Fires the person investigating him then dismisses legitimate concerns as fake news Kenney or Trump Sadly I think,null,neutral
385,RT 300 millions de critiques le magazine de TV5Monde qui traite de l actualit culturelle francophone sans effets de manches,null,neutral
386,RT peryer Yale and Harvard students have taken to the field to protest university holdings in fossil fuel companies and Puerto Ric,null,neutral
387,RT We did it They did it Canada did it The YearOfTheNorth continues Read more,null,neutral
388,RT We re everywhere Jackie studentsdemandaction leader at Clark Atlanta University with Nicole Georgia s te,null,neutral
389,RT Wanna see an example of leadership combatting a misogynistic racist prof Look no further than President of Indiana Un,no,negative
390,RT Attack and distract Dead salmon red herrings and the magic of Gerry Byrne CBC News,null,neutral
391,Should apply for Queens university in Belfast with me this year,null,neutral
392,JV Collegiate Starleague LoL Match vs Sacred Heart University,null,neutral
393,RT Thanks a lot Hindu Students Council of Rutgers University and wonderful people of NY NJ,wonderful,positive
394,RT Hey does any of the urgency here have to do with NCAA sports,null,neutral
395,RT BrexitTory Jeremy Corbyn expressing understanding for how Hamas suicide bombers commit their acts of terrorism during a debate at Cam,null,neutral
396,RT police switching from a no sulfates shampoo to a just sulfates shampoo which i obtained from a chemical supplier by posing as,no,negative
397,Recently I was interviewed by Canadian Immigrant Magazine a publication of Metroland Media Group The magazine is,null,neutral
398,RT Catholic Archdiocese of Vancouver names 9 clergymen in sex abuse scandal Archdiocese was aware of 36 cases since the 1950s,null,neutral
399,RT It s something that is very promising University of Lethbridge team wins award for developing the world s first known or,null,neutral
400,Making money moves,null,neutral
401,RT 68 99 for 12 pack of Jumbo Blueberry muffins Canada could subsidize food to the North but colonizer governments don,null,neutral
402,RT Canada is a set away from the Davis Cup Final THIS IS REAL LIFE Live on One,null,neutral
403,Point University vs Furman NCAA COLLEGE FOOTBALL Live 01 00 00 PM On here,null,neutral
404,RT peryer Hundreds of Yale and Harvard students held up the football game for about a half hour to protest university holdings in,up,positive
405,Recent suicides on Canadian university campuses have sparked an outcry from students for better mental health servi,null,neutral
406,RT Senior women ainlayvball are headed to the ASAA final 6 15 at JP vs Western Canada,null,neutral
407,RT Trudeau s UN immigration is not about building Canada It s all about the Liberals helping the UN to Invade Canada,not,negative
408,Well done Pride as usual enjoyed watching you play a couple of weeks back well bowled in this match,well,positive
409,RT Beyond blessed and grateful to receive an offer from the University of Wisconsin OnWisconsin,null,neutral
410,RT Makgatho The critical thinking they won t teach you in University,null,neutral
411,RT Suicide hotline numbers United Kingdom 116 123 United States 1 800 273 8255 Canada 1 800 456 4566 Ireland,null,neutral
412,Mr White who would have been 51 in 2016 had worked as a defence contractor since leaving the US Navy He lived al,null,neutral
413,RT Dan talks to historian of Actresses Franchise League and Associate Fellow at the School of Advanced Study at,null,neutral
414,RT Unheard of in civilised countries Top medical journal blasts Hong Kong police for treatment of medics at Polytechnic,null,neutral
415,OBAT PEMBESAR PENIS VIMAX CANADA BIKIN PENIS BESAR DAN PANJANG HUB 08176911166 PIN 2292693E VIMAX,null,neutral
416,BREAKING Et Tu Canada Canadian authorities have commenced efforts to execute a corresponding arrest warrant i,null,neutral
417,Check out what I just added to my closet on Poshmark Indiana University Champion brand shirt,null,neutral
418,RT BrexitTory Jeremy Corbyn expressing understanding for how Hamas suicide bombers commit their acts of terrorism during a debate at Cam,null,neutral
419,RT Canada s vote on Wednesday against Israel at the UN was a betrayal Trudeau is abandoning a key democratic ally in the Mi,null,neutral
420,RT The list of 31 Vulnerable Democrats in Trump Districts ARE FREAKED that GOP Is Running Schifty Schiff Impeachment Ads in t,null,neutral
421,Excellent thoughts Azheen Gender equality should start in school even with basic courtesy respect o,null,neutral
422,Wright State University s 8th Annual Raidersgiving a free Thanksgiving meal for students faculty staff and alum,free,positive
423,RT Into the final Canada are into the Davis Cup final 6 3 3 6 7 6 5 over Russia RUSCAN DavisCupMadridFinals byRaku,null,neutral
424,You never know when you re going to run into Rich Bilyew and a Nebraska Heisman Trophy winner Johnny The Je,never,negative
425,Service Writer,null,neutral
426,Office Administrator for a stable and growing company,growing,positive
427,Es tu int ress par une carri re en recouvrement Postule maintenant,null,neutral
428,RT Congrats to these two awesome women with rank,awesome,positive
429,RT We re everywhere Jackie studentsdemandaction leader at Clark Atlanta University with Nicole Georgia s te,null,neutral
430,Let s GO THEO,null,neutral
431,RT For the first time ever Canada s in the final Congrats shapo amp and good luck tomorrow,good,positive
432,Canada must beware of Huawei says Trump advisor,null,neutral
433,It s on my TBR list so yes please I love retellings I m in,yes,positive
434,RT We are the best university in the world GoBlue,null,neutral
435,RT Christy and Nancy are letting EVERYONE know about Pete coming to Storm Lake this Tuesday at 2 at Buena Vista University Wi,null,neutral
436,RT Navy Secretary Richard Spencer is due to give a talk in Halifax shortly The New York Times just reported that he threa,null,neutral
437,RT Excited to receive my first offer to play football at Concordia University Chicago Thank you,null,neutral
438,Monye How do I apply for the post of a toilet cleaner Within two years I d have raised enough money to finally relocate to Canada,null,neutral
439,RT Navy Secretary Richard Spencer is due to give a talk in Halifax shortly The New York Times just reported that he threa,null,neutral
440,RT In today s WW Canada newsletter reports on industry losses and challenges Ontario s quest to get REC retai,null,neutral
441,RT Around the world democracy has enabled losers and freeloaders to come to the streets to beg for free stuff what they,free,positive
442,RT Navy Secretary Richard Spencer is due to give a talk in Halifax shortly The New York Times just reported that he threa,null,neutral
443,RT University of Louisiana visit today GeauxCajuns,null,neutral
444,RT Honored to receive the 2019 Charles C Stewart International Young Humanitarian Award Big thanks to the Gies College of Busin,null,neutral
445,UNIVERSITY OF TORONTO Indigenous students at U of T honoured for efforts in language revitalization health equity,null,neutral
446,RT Someone let the families of hostages Michael Kovrig and Michael Spavor know,null,neutral
447,Don t sleep on RSVPing to Winter Epiphany a TaeJin Event in Halifax or you ll miss it RSVP here,null,neutral
448,Typical Insecure Bully,null,neutral
449,RT BrexitTory Jeremy Corbyn expressing understanding for how Hamas suicide bombers commit their acts of terrorism during a debate at Cam,null,neutral
450,CIA Director Gina Haspel speaks at Auburn University via Never look away Never cry,cry,negative
451,RT Rans Last night inside Accra Technical University Yes tell them Stonebwoy is HERO BigBoss BhimConcert19 ATTC19,null,neutral
452,RT Mestizos Amerindians in North America Guatemala 99 5 Honduras 97 Mexico 90 El Salvador 86 5 Costa Rica,null,neutral
453,Anything for attention Bait em and try get em banned Get a life you are such an embarrassment t to C,null,neutral
454,RT This kid coming out to his Christian University is everything I wanted to be and more Congrats,null,neutral
455,Illini Lovie Smith We re a different team this year We were there at the end against a good football team It s,good,positive
456,CN strike could trigger layoffs at Halifax port,null,neutral
457,RT 05 White adults cannot hear the words Temple University without saying ooo it s a little rough down there don t step foot o,null,neutral
458,RT What really happened Malviya begged Nizam for funds to start BHU Nizam threw his shoe at Malviya saying How dare you a,null,neutral
459,Un gradino altissimo in Canada Loro per via della neve hanno sti cosi altissimi fuori dai nego,null,neutral
460,This is what I found on way to The Minster in Halifax well I never,null,neutral
461,RT But a row had erupted over plans by BJP to observe the birth anniversary of freedom fighter Raja Mahendra Pratap at the AMU c,null,neutral
462,RT Where is the Prime Minister and his 156 Liberal MPs Why are they not being recalled BEFORE the crisis escalates http,not,negative
463,It has been very cool this week in Canada to have fans come up amp ask about the Bobby Eaton A Night of Appreciation,up,positive
464,Yo this is for the folks who wanna buy their mom sis girl a Kate Spade bag They have nice,nice,positive
465,Shaheed Mohtarma Benazir Bhutto Medical University Larkana Jobs 2019,null,neutral
466,RT Two million dollar fine never paid by Transport Logistics Rodney Fisk was an FBI informant Lambert shipped uranium to M,null,neutral
467,canada is doing it wrong,null,neutral
468,Whats going on canada first you have bagged milk now im hearing about this Robertson screw the fuck is going on,now,positive
469,RT cap Trudeau Govt FORCING Abortion On Old Stock Canada Amid Highest Immigration Quotas In A CENTURY AbortionIsMurder Abortio,null,neutral
470,RT ottawa Quebec poll 55 happy or OK to see Alberta leave the country Intolerance is a hallmark of Quebec Bill 21 Eth,null,neutral
471,RT Look at who signed out this week 4 years in Obafemi Awolowo University I ve learnt a lot about life and business ethics,null,neutral
472,A nice day at work Have a unicorn afternoon Sugar daddy looking for sugar baby to spoil dm sugardaddy,nice,positive
473,Penn State Nittney Lions 17 The Ohio State University Buckeyes 28 Great Game ALL of ya Did u see the Love at the end,null,neutral
474,RT Halifax County Borough Map 1951 A digital copy of the map has now been bought from the National Archives Kew by the Cent,now,positive
475,RT I would like to say thank you a million times over to the University of Wisconsin Madison for inviting me to be the 2019 K,null,neutral
476,This would be your taste in class,null,neutral
477,RT LTIMA HORA Estudiantes de la Univ de Cambridge piden que se retire del comedor un cuadro del siglo XVII porque moles,null,neutral
478,This is what we have paid in Delhi University in last 3 years now the fee hike is proposed for JNU is not effective,effective,positive
479,RT Kapsi Nupes Kappa Alpha Psi Fraternity Inc statement on racial incidents at Syracuse University,null,neutral
480,RT 20 Students batch of got study scholarship at Jiangxi university of science amp technology Ganzhou city Jiangxi CSAIL u,null,neutral
481,RT BREAKING Paper trail shows plotting the smear campaign against Ambassador Marie Yovanovitch with Trump s pers,null,neutral
482,A pit stop to South Bend Indiana to catch another favorite music group WakeUpTheEchoes,null,neutral
483,RT Minibus Passenger Attendant 9 18 9 36 per hour 16 hrs per week permanent Halifax West Yorkshire Calderdale Jobs,null,neutral
484,Congrats to our Professional Sales Team They took home the Rookie Award at the 2019 International Collegiate Sales,null,neutral
485,Best team in the land The Ohio State university Chase Young for the Heisman,null,neutral
486,RT People are still crossing into Canada illegally ISIS fighters are returning to Canada and the problematic China file,null,neutral
487,RT CANADIAN HISTORY shapo and defeat Khachanov Rublev 6 3 3 6 7 6 5 sending Canada into the Da,null,neutral
488,RT oretonii There s a psychopath in the university of Ibadan who picks up young girls with his car in the name of helping them get to th,up,positive
489,Watching TheCaptive which takes place in Canada which looks miserable in winter,null,neutral
490,LittleMsSams has a mod that allows you to choose your roommates,null,neutral
491,Go Rafa,null,neutral
492,Hong Kong police chief urges protesters to leave university campus Chase Young Penn State PSUvsOSU Fields,null,neutral
493,RT Navy Secretary Richard Spencer is due to give a talk in Halifax shortly The New York Times just reported that he threa,null,neutral
494,RT When Doug Ford who is wreaking havoc in Ontario sounds more reasonable than Scheer Kenney amp Moe what does that say about,null,neutral
495,Is there a mental health crisis on Canadian university campuses CBC News,null,neutral
496,RT savage Richard V Spencer secretary of the US navy who my colleagues just reported is threatening to resign if Trump goes thr,threatening,negative
497,Damn since sims university has came out I m barley on twitter,null,neutral
498,Still Creek Burnaby BC Canada,null,neutral
499,RT Today my friend s rapist was found guilty He got 50 hours of community service and a final warning from the University that,guilty,negative
500,RT Deragon Absolument pas Les Qu b cois ont tr s bien compris votre message multiculturaliste anti la cit et aplaventriste deva,null,neutral
501,RT oretonii There s a psychopath in the university of Ibadan who picks up young girls with his car in the name of helping them get to th,up,positive
502,RT Henson Trusts were finally allowed in Alberta under the NDP to align with the rest of Canada They allowed families to,null,neutral
503,RT I CANT BELIEVE THERES A BANGTAN AU ABT A VIRAL TWEET FROM MY UNIVERSITY LMFAO,null,neutral
504,She sounds smart and this new position doesn t seem like a scam at all farting sound The patients run the as,null,neutral
505,The chapel on my university s campus,null,neutral
506,SellBuyToronto Go check out today New property listings helpful Realestate information,null,neutral
507,RT We need a documentary or something on this Cause I literally wanna know what happen from start to finish,null,neutral
508,We Are The Ohio State University Buckeyes GoBucks,null,neutral
509,RT Dances with birds if you watch carefully you can see the conductor peregrine falcon for my full video please click here,null,neutral
510,RT B Fake Indian Lying Warren caught lying about where she sent her kids to school Warren sent her son to an expensive privat,null,neutral
511,RT University me har jaga couples dekh k I feel nausea,null,neutral
512,RT Unheard of in civilised countries Top medical journal blasts Hong Kong police for treatment of medics at Polytechnic,null,neutral
513,RT We came out of the mess and ran towards the hostel security room around 200 feet away The attackers ran after us to the s,null,neutral
514,RT peryer Yale and Harvard students have taken to the field to protest university holdings in fossil fuel companies and Puerto Ric,null,neutral
515,And a hundred years later Canada still hasn t learned using its growing police state to violentl,growing,positive
516,RT wanna be traveling to places like this during this time of the year w my boo,null,neutral
517,Maybe I need to ensure I keep that adventure spirit going when I m home but the responsibility to work and life can,null,neutral
518,RT Update Panel composition has been changed Hopefully other parts of will also explore not only women s roles in,not,negative
519,Sasha Baron Cohen Facebook would have let Hitler buy anti Semitic ads,null,neutral
520,Not getting enough sleep You re literally poisoning your brain New research shows why via,null,neutral
